Sensor,Timestamp,Acceleration x,Acceleration y,Acceleration z,Gyroscope x,Gyroscope y,Gyroscope z
Belly button;6,388257;0,53271484375;1,41577148438;0,11474609375;-7,97271728516;10,498046875;-4,37164306641
Sternum;6,390003;0,79443359375;0,231689453125;0,7431640625;-14,3127441406;-0,0839233398438;-17,9214477539
Head;6,391831;0,980712890625;-0,078369140625;0,356201171875;-13,4124755859;-4,57763671875;-2,54821777344
Left thigh;6,393414;0,030517578125;-0,962646484375;-0,0146484375;-4,05120849609;-14,1830444336;45,051574707
Left tibia;6,399676;0,017578125;-1,49829101562;-0,12451171875;3,18908691406;83,3511352539;-231,147766113
Left foot;6,401396;1,99993896484;-1,57348632812;0,135009765625;-48,9807128906;163,581848145;-72,7462768555
Right thigh;6,403737;0,15380859375;-1,19213867188;0,130615234375;3,81469726562;-13,2293701172;-28,7933349609
Right tibia;6,405298;-0,308349609375;-1,7763671875;0,90625;-36,5982055664;35,2935791016;-208,602905273
Right foot;6,408352;-0,884765625;-0,167236328125;0,59619140625;82,2448730469;142,868041992;-84,2590332031
Left hand;6,409744;0,8310546875;0,28759765625;0,373779296875;53,4286499023;-7,51495361328;34,2788696289
Left forearm;6,411896;-0,055908203125;-1,13208007812;0,076904296875;59,7229003906;-27,5039672852;-29,6478271484
Left biceps;6,413418;0,07666015625;-0,955322265625;0,27392578125;-1,86157226562;20,149230957;-27,8472900391
Right hand;6,416403;0,824462890625;-0,28857421875;0,083251953125;44,7387695312;37,7349853516;80,5969238281
Right forearm;6,417794;-0,173828125;-0,675537109375;0,180908203125;17,8527832031;-24,8947143555;87,1734619141
Right biceps;6,419409;-0,2646484375;-0,70654296875;0,1572265625;9,10949707031;-13,3361816406;-4,82940673828
Left shoulder;6,420859;-0,11376953125;0,83203125;0,26904296875;-24,1928100586;40,2603149414;27,7709960938
Right shoulder;6,423770;-0,56201171875;0,760009765625;0,194580078125;45,6237792969;-70,9915161133;-24,7268676758
Back pelvis;6,425182;1,04296875;0,089599609375;0,254638671875;-22,9949951172;9,01794433594;-14,1525268555
Front pelvis;6,426574;0,955322265625;0,134033203125;0,20654296875;-20,7138061523;16,1361694336;-5,69915771484
Belly button;6,428066;0,3017578125;1,1865234375;-0,33056640625;2,42614746094;10,2081298828;-2,45666503906
Sternum;6,431050;0,689208984375;0,244873046875;0,60986328125;-13,6947631836;-15,3274536133;-12,3901367188
Head;6,432484;1,17797851562;-0,151123046875;0,367431640625;-18,0053710938;-23,5366821289;-4,57763671875
Left thigh;6,433889;0,12060546875;-1,05102539062;-0,28564453125;-6,01959228516;1,11389160156;21,2020874023
Left tibia;6,435344;-0,07275390625;-1,21655273438;-0,36962890625;-47,1496582031;100,624084473;-56,2973022461
Left foot;6,438076;-1,22143554688;-0,30224609375;-0,237060546875;-47,9049682617;-123,344421387;-10,4751586914
Right thigh;6,439478;0,368408203125;-1,07421875;0,019287109375;20,5535888672;10,8947753906;-2,05993652344
Right tibia;6,440873;-0,133056640625;-2,0;0,690673828125;-29,0985107422;66,9174194336;-227,767944336
Right foot;6,442251;-0,52978515625;-0,121826171875;0,8974609375;35,4995727539;152,954101562;-62,1566772461
Left hand;6,445207;0,809326171875;0,323486328125;0,3447265625;67,3217773438;-11,5203857422;30,0140380859
Left forearm;6,446952;-0,0869140625;-1,01220703125;0,09375;55,7250976562;-34,4543457031;-40,7028198242
Left biceps;6,448427;0,052001953125;-1,0673828125;0,23486328125;0,679016113281;11,2991333008;-25,6195068359
Right hand;6,449861;0,829345703125;-0,213623046875;0,042724609375;40,6723022461;34,0118408203;72,7233886719
Right forearm;6,452775;-0,16015625;-0,710205078125;0,243408203125;13,5192871094;-20,4010009766;63,0111694336
Right biceps;6,454158;-0,277099609375;-0,851318359375;0,15625;2,86102294922;11,9705200195;-30,7769775391
Left shoulder;6,455569;-0,1279296875;0,785400390625;0,254150390625;-11,3830566406;34,065246582;27,0919799805
Right shoulder;6,456963;-0,531982421875;0,75634765625;0,17578125;46,7529296875;-81,2225341797;-25,4135131836
Back pelvis;6,459894;1,07641601562;0,057861328125;0,28662109375;-30,1284790039;-0,389099121094;-16,6320800781
Front pelvis;6,461659;1,14965820312;0,383056640625;0,17822265625;-22,8500366211;2,09808349609;-22,9873657227
Belly button;6,463413;0,040771484375;0,787353515625;-0,21337890625;-19,3481445312;7,63702392578;26,0162353516
Sternum;6,464934;0,7509765625;0,11572265625;0,7880859375;-15,9912109375;-12,0315551758;-15,1977539062
Head;6,467925;1,03955078125;-0,078857421875;0,373779296875;-19,3023681641;9,50622558594;-10,5972290039
Left thigh;6,469352;0,132568359375;-1,14819335938;-0,121337890625;3,79943847656;-1,8310546875;7,33947753906
Left tibia;6,470768;-0,41552734375;-1,14428710938;-0,438232421875;-76,6220092773;97,3358154297;98,0758666992
Left foot;6,472165;1,99993896484;1,96435546875;1,99993896484;-198,760986328;-5,08880615234;-27,4124145508
Right thigh;6,475133;0,2021484375;-1,33642578125;0,2841796875;-3,99017333984;120,063781738;29,0222167969
Right tibia;6,476573;-0,0478515625;-1,23193359375;-0,048583984375;-17,2424316406;-15,9759521484;-153,038024902
Right foot;6,477975;-0,4384765625;-0,00732421875;1,18432617188;18,1884765625;169,082641602;-51,2771606445
Left hand;6,479375;0,810546875;0,381591796875;0,3466796875;64,1403198242;-16,5710449219;30,158996582
Left forearm;6,482153;-0,012939453125;-1,27709960938;0,1142578125;25,4364013672;-53,1692504883;-25,0091552734
Left biceps;6,483600;0,00390625;-1,09301757812;0,237548828125;1,40380859375;-19,9279785156;-18,7301635742
Right hand;6,485031;0,84228515625;-0,167724609375;0,053466796875;28,2516479492;28,6712646484;60,4934692383
Right forearm;6,486432;-0,073974609375;-0,68994140625;0,295166015625;12,0086669922;-3,68499755859;36,7431640625
Right biceps;6,489368;-0,22216796875;-0,9296875;0,18896484375;-0,534057617188;24,6658325195;-6,24084472656
Left shoulder;6,490793;-0,141357421875;0,864990234375;0,246337890625;-3,73077392578;29,0832519531;24,1088867188
Right shoulder;6,492196;-0,520263671875;0,78662109375;0,195556640625;47,2259521484;-80,1010131836;-28,7551879883
Back pelvis;6,493590;1,08642578125;-0,04443359375;0,322021484375;-11,4059448242;-22,6745605469;6,14166259766
Front pelvis;6,496427;1,14331054688;0,37451171875;0,03564453125;-32,112121582;-4,55474853516;-20,9503173828
Belly button;6,497816;-0,044921875;1,083984375;0,087646484375;-5,50079345703;-60,417175293;-1,45721435547
Sternum;6,499278;0,613037109375;0,105712890625;0,63427734375;-17,0516967773;-11,9781494141;-6,58416748047
Head;6,500678;1,173828125;-0,175048828125;0,34521484375;-26,6876220703;-15,5487060547;-13,0081176758
Left thigh;6,503536;0,433349609375;-1,2021484375;0,041748046875;17,8451538086;-24,4903564453;-20,01953125
Left tibia;6,504940;0,860595703125;-1,49365234375;-0,4052734375;-65,4678344727;-32,7072143555;118,278503418
Left foot;6,506318;0,727294921875;-0,156494140625;1,23657226562;-71,9680786133;-53,352355957;16,3879394531
Right thigh;6,514143;0,508544921875;-1,18188476562;0,118408203125;9,73510742188;182,571411133;48,2025146484
Right tibia;6,521947;1,5341796875;-0,998291015625;-0,971923828125;-3,90625;-250,0;2,34985351562
Right foot;6,528136;-0,198974609375;-0,224609375;1,40551757812;-0,518798828125;188,125610352;-29,9377441406
Left hand;6,529777;0,8564453125;0,446533203125;0,374267578125;47,248840332;-16,9372558594;24,0631103516
Left forearm;6,531541;-0,03955078125;-1,15576171875;0,166259765625;8,11004638672;-62,4237060547;-1,68609619141
Left biceps;6,534495;0,183837890625;-1,388671875;0,251708984375;-3,08990478516;-17,9672241211;-9,98687744141
Right hand;6,539848;0,82763671875;-0,1591796875;0,066650390625;22,9263305664;22,0108032227;44,1055297852
Right forearm;6,541365;-0,10498046875;-0,763427734375;0,281982421875;2,36511230469;16,7999267578;-9,01794433594
Right biceps;6,542896;-0,13232421875;-0,88232421875;0,2275390625;-17,3263549805;31,1050415039;-34,8587036133
Left shoulder;6,546109;-0,167724609375;0,96875;0,239013671875;0,709533691406;24,8870849609;18,6309814453
Right shoulder;6,547683;-0,504638671875;0,85888671875;0,177490234375;52,5131225586;-83,6029052734;-27,7481079102
Back pelvis;6,552046;1,47045898438;-0,196044921875;0,775146484375;21,2860107422;-15,9759521484;19,8364257812
Front pelvis;6,553728;1,14282226562;-0,182373046875;-0,40380859375;-20,5154418945;-1,64031982422;-10,5438232422
Belly button;6,556885;0,359619140625;1,21118164062;-0,014892578125;-2,8076171875;-16,0217285156;-12,0620727539
Sternum;6,559956;0,460693359375;0,135498046875;0,510498046875;-21,6598510742;-15,5334472656;-2,8076171875
Head;6,561831;1,07788085938;-0,23974609375;0,302490234375;-21,4996337891;-14,16015625;-4,08172607422
Left thigh;6,565024;0,75439453125;-1,048828125;0,064208984375;41,3284301758;-61,1038208008;-62,3397827148
Left tibia;6,568498;0,094970703125;-0,51123046875;-1,11743164062;-123,306274414;205,947875977;126,594543457
Left foot;6,569653;0,4755859375;0,085205078125;1,10205078125;-18,5852050781;-33,7448120117;13,6489868164
Right thigh;6,570843;0,704345703125;-0,819091796875;-0,02880859375;6,01959228516;140,144348145;85,823059082
Right tibia;6,572035;0,582275390625;-0,234619140625;0,013671875;12,809753418;130,53894043;32,1807861328
Right foot;6,574332;-0,208984375;-0,29150390625;1,46923828125;-28,7780761719;174,163818359;-1,35040283203
Left hand;6,575770;0,895751953125;0,469482421875;0,421875;32,341003418;-16,8609619141;19,9508666992
Left forearm;6,576977;-0,066162109375;-0,761474609375;0,235595703125;-7,82775878906;-62,2253417969;-0,869750976562
Left biceps;6,578152;0,14453125;-1,34252929688;0,08740234375;-9,26208496094;6,39343261719;-2,70843505859
Right hand;6,580581;0,83447265625;-0,12158203125;0,0703125;6,33239746094;17,2958374023;25,9323120117
Right forearm;6,581745;-0,133544921875;-0,887451171875;0,390625;2,33459472656;18,6309814453;-37,5137329102
Right biceps;6,583477;-0,209716796875;-1,2021484375;0,313720703125;-12,3443603516;54,9545288086;-49,8046875
Left shoulder;6,585998;-0,219970703125;0,96533203125;0,236083984375;-1,39617919922;14,289855957;8,62121582031
Right shoulder;6,589740;-0,818115234375;1,12915039062;0,335205078125;58,2962036133;-74,8977661133;-35,6597900391
Back pelvis;6,591025;1,10766601562;0,0615234375;0,610595703125;7,98797607422;-18,7454223633;22,0184326172
Front pelvis;6,592244;0,938232421875;0,153564453125;-0,137451171875;-12,809753418;28,6560058594;14,3585205078
Belly button;6,593418;0,449462890625;0,835205078125;-0,10888671875;2,12860107422;20,2560424805;13,8626098633
Sternum;6,595994;0,4990234375;0,169189453125;0,53466796875;-22,4685668945;-10,612487793;-2,48718261719
Head;6,597195;1,21215820312;-0,251708984375;0,303466796875;-13,3590698242;4,92858886719;2,38800048828
Left thigh;6,598378;0,267578125;-1,42309570312;0,7099609375;96,4431762695;-54,9240112305;-118,40057373
Left tibia;6,599636;-0,38623046875;-1,306640625;-0,438232421875;-39,8178100586;7,03430175781;112,373352051
Left foot;6,601978;0,284423828125;0,04345703125;0,990478515625;-4,35638427734;-13,3285522461;10,2386474609
Right thigh;6,603208;0,54736328125;-1,15380859375;0,089599609375;8,31604003906;88,0889892578;84,4039916992
Right tibia;6,604375;0,34814453125;0,046875;-0,197265625;30,0598144531;28,8543701172;135,42175293
Right foot;6,605551;0,44921875;-0,79541015625;1,82983398438;-42,121887207;164,855957031;103,02734375
Left hand;6,607987;0,920166015625;0,518310546875;0,4384765625;22,6287841797;-13,7329101562;13,2293701172
Left forearm;6,609165;0,00244140625;-0,8994140625;0,293701171875;-27,6260375977;-49,8657226562;13,1530761719
Left biceps;6,610328;-0,089111328125;-0,9111328125;0,006103515625;-4,44793701172;13,5650634766;15,3732299805
Right hand;6,611563;0,867919921875;-0,1630859375;0,068603515625;3,10516357422;11,7645263672;7,47680664062
Right forearm;6,613932;-0,210205078125;-1,09252929688;0,413818359375;-6,82067871094;32,2952270508;-67,1844482422
Right biceps;6,615173;-0,223388671875;-1,25146484375;0,349365234375;-25,1312255859;94,2535400391;-35,7360839844
Left shoulder;6,616350;-0,15771484375;1,04345703125;0,30859375;5,26428222656;-11,6195678711;-0,984191894531
Right shoulder;6,617522;-0,6318359375;1,05883789062;0,394775390625;56,0836791992;-104,011535645;-36,8270874023
Back pelvis;6,619992;0,776123046875;0,09326171875;0,47216796875;-18,0358886719;13,1149291992;-4,81414794922
Front pelvis;6,621185;0,954833984375;0,59814453125;-0,10888671875;-78,9108276367;-8,38470458984;9,32312011719
Belly button;6,622348;0,03857421875;0,7041015625;-0,025390625;-7,07244873047;-26,3748168945;15,2587890625
Sternum;6,623575;0,66259765625;0,171142578125;0,6416015625;-13,542175293;-6,24084472656;0,350952148438
Head;6,625895;1,07958984375;-0,239013671875;0,328125;-7,82012939453;11,848449707;1,19018554688
Left thigh;6,627116;-0,452392578125;-1,44970703125;-0,109375;57,2814941406;-80,207824707;-127,563476562
Left tibia;6,628302;-0,238525390625;-1,20092773438;-0,0263671875;3,68499755859;-38,8565063477;75,7217407227
Left foot;6,629469;0,278564453125;0,051513671875;0,951171875;-3,97491455078;-9,18579101562;12,580871582
Right thigh;6,632200;0,638671875;-0,99755859375;0,16015625;-33,935546875;59,4482421875;74,2950439453
Right tibia;6,633409;0,28076171875;-0,148681640625;0,09375;20,9350585938;86,6088867188;168,930053711
Right foot;6,634572;1,232421875;-0,38818359375;1,57080078125;-18,180847168;151,077270508;118,057250977
Left hand;6,635856;0,950927734375;0,556640625;0,4150390625;10,7192993164;-7,11822509766;8,28552246094
Left forearm;6,638178;-0,02001953125;-0,82470703125;0,230712890625;-23,3917236328;-27,8091430664;24,528503418
Left biceps;6,639364;0,085693359375;-1,0615234375;0,021728515625;-0,091552734375;4,95147705078;38,0630493164
Right hand;6,640512;0,935546875;-0,173095703125;0,105712890625;-0,885009765625;3,60870361328;-10,139465332
Right forearm;6,641676;-0,1943359375;-1,18579101562;0,452392578125;-12,6342773438;30,647277832;-91,9952392578
Right biceps;6,644039;-0,028076171875;-1,00219726562;0,402099609375;-45,6008911133;116,554260254;-38,5055541992
Left shoulder;6,645252;-0,093505859375;1,00903320312;0,265869140625;12,4588012695;-20,2331542969;-4,62341308594
Right shoulder;6,646691;-0,42236328125;0,898681640625;0,40185546875;49,3011474609;-121,528625488;-37,9791259766
Back pelvis;6,647951;0,961669921875;-0,0087890625;0,540283203125;-13,9389038086;9,71221923828;-12,9165649414
Front pelvis;6,650333;1,28100585938;0,051025390625;0,0625;-1,77001953125;-16,6244506836;-11,9552612305
Belly button;6,651591;0,13330078125;0,824951171875;0,0751953125;-2,47955322266;-15,8767700195;4,150390625
Sternum;6,652784;0,7216796875;0,1982421875;0,68505859375;-8,65173339844;-0,991821289062;7,85827636719
Head;6,653954;0,835693359375;-0,225341796875;0,32763671875;-2,45666503906;12,5732421875;-1,80816650391
Left thigh;6,656389;-0,509033203125;-1,79638671875;-0,216796875;20,8129882812;-89,1571044922;-134,338378906
Left tibia;6,657607;-0,099365234375;-1,13818359375;-0,30322265625;7,47680664062;-63,0340576172;63,1561279297
Left foot;6,658803;0,3095703125;0,0078125;0,96923828125;-5,47027587891;-9,23156738281;17,5857543945
Right thigh;6,667986;0,58349609375;-0,732177734375;0,198486328125;-5,11169433594;40,5654907227;82,0007324219
Right tibia;6,671907;0,47021484375;-0,35009765625;0,09326171875;26,3671875;33,576965332;242,538452148
Right foot;6,676048;1,99993896484;-0,153076171875;1,2412109375;-57,0831298828;128,051757812;30,1132202148
Left hand;6,677554;1,0244140625;0,563720703125;0,431396484375;-8,35418701172;-4,89807128906;-2,09808349609
Left forearm;6,679081;-0,01318359375;-0,703857421875;0,17919921875;-30,876159668;-33,9431762695;30,1284790039
Left biceps;6,689037;0,075927734375;-1,07055664062;0,0654296875;3,56292724609;-25,4135131836;39,9551391602
Right hand;6,690497;0,919921875;-0,1767578125;0,150634765625;-12,3443603516;-7,11059570312;-19,2184448242
Right forearm;6,692213;-0,18212890625;-0,905029296875;0,470458984375;-16,1895751953;32,3791503906;-105,72052002
Right biceps;6,694008;-0,255126953125;-1,044921875;0,3603515625;-44,9447631836;79,4448852539;-34,3399047852
Left shoulder;6,701646;-0,234375;1,56713867188;0,505859375;32,4630737305;4,58526611328;0,251770019531
Right shoulder;6,703468;-0,455810546875;0,763916015625;0,488525390625;63,850402832;-102,882385254;-46,1196899414
Back pelvis;6,704876;0,896240234375;-0,396728515625;0,47119140625;10,6658935547;-13,4124755859;13,0233764648
Front pelvis;6,707612;0,698486328125;0,051513671875;-0,149658203125;-10,7498168945;2,25830078125;3,94439697266
Belly button;6,710271;0,297607421875;0,87109375;0,106201171875;-2,73895263672;-5,82885742188;5,32531738281
Sternum;6,711691;0,729248046875;0,193603515625;0,69091796875;-5,31768798828;8,84246826172;10,2386474609
Head;6,712890;0,68505859375;-0,185791015625;0,302734375;0,968933105469;-0,595092773438;-7,54547119141
Left thigh;6,714055;0,15185546875;-1,6083984375;-0,08447265625;16,2811279297;-85,2584838867;-134,10949707
Left tibia;6,716638;0,3984375;-0,8828125;-0,280029296875;-10,6964111328;15,8233642578;43,9071655273
Left foot;6,717790;0,2900390625;0,021484375;0,9326171875;-4,11224365234;3,70025634766;9,59777832031
Right thigh;6,719063;0,55078125;-0,594970703125;0,04150390625;8,87298583984;-21,9955444336;75,6378173828
Right tibia;6,720242;0,615234375;-0,574951171875;0,262939453125;24,8031616211;14,3280029297;249,992370605
Right foot;6,722610;1,99993896484;-0,564697265625;0,5888671875;-20,9274291992;17,3187255859;1,09100341797
Left hand;6,723994;1,09326171875;0,5234375;0,453857421875;-19,3710327148;-3,95202636719;-18,1350708008
Left forearm;6,725184;0,076171875;-0,68505859375;0,225341796875;-49,9649047852;-43,7774658203;43,8613891602
Left biceps;6,726353;0,0458984375;-0,790771484375;0,0419921875;-8,49151611328;-34,1567993164;42,8085327148
Right hand;6,728765;1,16967773438;-0,138427734375;0,152587890625;-34,9273681641;-7,61413574219;-26,6952514648
Right forearm;6,729967;-0,390625;-0,991943359375;0,39697265625;-27,4200439453;5,74493408203;-100,608825684
Right biceps;6,731190;-0,21923828125;-0,95703125;0,317138671875;-47,2259521484;19,6914672852;-17,5857543945
Left shoulder;6,732390;-0,064453125;1,13452148438;0,541015625;11,0321044922;-27,587890625;-28,3203125
Right shoulder;6,734780;-0,453125;0,862060546875;0,39453125;71,3577270508;-93,6965942383;-56,0531616211
Back pelvis;6,735960;0,8701171875;-0,30517578125;0,17724609375;23,6892700195;-23,2238769531;40,3060913086
Front pelvis;6,737113;0,60693359375;0,386962890625;-0,0927734375;-39,4592285156;15,8920288086;7,40051269531
Belly button;6,738271;0,268798828125;0,84765625;0,06982421875;1,00708007812;3,93676757812;11,1694335938
Sternum;6,740660;0,640869140625;0,14208984375;0,7138671875;3,14331054688;17,5399780273;14,0914916992
Head;6,741821;0,712158203125;-0,121826171875;0,248291015625;2,05230712891;-9,85717773438;-16,6015625
Left thigh;6,743013;-0,0654296875;-0,640380859375;-0,09619140625;-1,56402587891;-5,62286376953;-93,5668945312
Left tibia;6,744541;0,089599609375;-1,001953125;-0,06298828125;-4,89044189453;-6,21032714844;41,9540405273
Left foot;6,747863;0,248779296875;0,0107421875;0,943115234375;-1,15966796875;-5,40161132812;-4,15802001953
Right thigh;6,750350;0,546630859375;-0,499267578125;0,044921875;24,9328613281;-68,1838989258;57,2280883789
Right tibia;6,752950;0,7060546875;-0,88427734375;0,14208984375;30,6549072266;13,1072998047;249,992370605
Right foot;6,755513;0,650146484375;-0,857421875;-1,08520507812;-13,1378173828;-90,0497436523;3,14331054688
Left hand;6,758868;1,20971679688;0,42138671875;0,450927734375;-7,01904296875;5,71441650391;-35,15625
Left forearm;6,760028;0,1103515625;-0,795166015625;0,303466796875;-64,8422241211;-46,38671875;61,5158081055
Left biceps;6,761182;0,083740234375;-0,742919921875;0,05029296875;-1,54876708984;-49,1485595703;45,3414916992
Right hand;6,762452;1,22338867188;-0,19677734375;0,189697265625;-29,6630859375;-14,3203735352;-48,454284668
Right forearm;6,764957;-0,242919921875;-1,001953125;0,409423828125;-24,0859985352;-24,5132446289;-93,7652587891
Right biceps;6,766127;-0,08056640625;-0,786376953125;0,29638671875;-40,2145385742;11,7797851562;-12,9089355469
Left shoulder;6,767329;0,150146484375;0,8984375;0,614501953125;-1,94549560547;-39,6881103516;-37,0712280273
Right shoulder;6,768490;-0,2900390625;0,84228515625;0,342041015625;65,6814575195;-91,3848876953;-55,9844970703
Back pelvis;6,770803;0,939453125;-0,03076171875;0,1796875;16,2200927734;-3,65447998047;30,0521850586
Front pelvis;6,771978;0,67236328125;0,3232421875;-0,0068359375;-16,0751342773;-5,93566894531;6,56890869141
Belly button;6,773140;0,265625;0,89892578125;0,095703125;-4,79125976562;6,89697265625;12,9776000977
Sternum;6,774300;1,06640625;-0,1201171875;0,9833984375;22,087097168;-2,8076171875;30,029296875
Head;6,776699;0,688720703125;-0,086669921875;0,18310546875;1,70135498047;-17,4026489258;-22,2778320312
Left thigh;6,777910;-0,226318359375;-0,67333984375;-0,07080078125;25,5966186523;90,4312133789;-87,516784668
Left tibia;6,779138;0,4150390625;-0,84423828125;-0,02685546875;-1,98364257812;-32,9437255859;46,9589233398
Left foot;6,780330;0,316650390625;0,02294921875;0,9658203125;-2,59399414062;-16,4337158203;3,20434570312
Right thigh;6,782721;0,442138671875;-0,58544921875;0,11376953125;48,3856201172;-49,5071411133;31,5017700195
Right tibia;6,783924;0,52685546875;-1,04272460938;0,099609375;39,9017333984;3,57818603516;249,992370605
Right foot;6,785098;-2,0;-2,0;1,99993896484;220,21484375;-250,0;190,315246582
Left hand;6,786266;1,31591796875;0,45751953125;0,46875;-9,52911376953;10,4904174805;-42,121887207
Left forearm;6,788588;0,105224609375;-0,915771484375;0,379638671875;-74,0280151367;-43,6859130859;76,3397216797
Left biceps;6,789813;0,107666015625;-0,728271484375;0,054443359375;0,648498535156;-53,7338256836;44,2504882812
Right hand;6,791354;1,06811523438;-0,19921875;0,1884765625;-26,3748168945;-23,7350463867;-61,393737793
Right forearm;6,792611;-0,263427734375;-0,96142578125;0,48193359375;-8,88824462891;-22,5677490234;-86,3418579102
Right biceps;6,795019;-0,23095703125;-0,74658203125;0,269287109375;-18,2571411133;50,651550293;-9,01794433594
Left shoulder;6,796346;0,01025390625;1,00610351562;0,624267578125;-2,91442871094;-29,1442871094;-25,1617431641
Right shoulder;6,797527;-0,3125;0,77978515625;0,357177734375;59,7381591797;-84,7625732422;-52,3834228516
Back pelvis;6,798758;0,591552734375;-0,09814453125;0,337890625;-2,3193359375;43,1823730469;6,51550292969
Front pelvis;6,801108;0,85205078125;0,191162109375;0,087158203125;-4,91333007812;-6,38580322266;4,78363037109
Belly button;6,802300;0,227783203125;0,945556640625;0,1259765625;-0,831604003906;8,04138183594;16,3116455078
Sternum;6,803557;0,95556640625;-0,065673828125;0,912109375;9,42230224609;1,708984375;27,83203125
Head;6,804742;0,784423828125;-0,077880859375;0,1533203125;3,13568115234;-20,6604003906;-21,0189819336
Left thigh;6,807147;-0,15625;-0,60693359375;0,043212890625;-3,40270996094;130,447387695;-59,8831176758
Left tibia;6,808327;0,52783203125;-0,791259765625;-0,0625;-15,9301757812;-6,02722167969;51,7730712891
Left foot;6,809511;0,333984375;0,018798828125;0,983642578125;-5,16510009766;-20,7748413086;12,939453125
Right thigh;6,810807;0,19921875;-0,42236328125;0,081298828125;72,0138549805;-91,7663574219;7,53784179688
Right tibia;6,824178;0,67724609375;-1,3486328125;0,0947265625;44,4869995117;-5,66101074219;249,992370605
Right foot;6,825754;-1,13452148438;-1,60302734375;1,99993896484;-44,6701049805;-188,652038574;-96,1532592773
Left hand;6,827429;1,2734375;0,42333984375;0,426025390625;-29,5028686523;10,9252929688;-49,9877929688
Left forearm;6,828833;0,055908203125;-0,952880859375;0,4033203125;-78,3538818359;-39,176940918;81,7184448242
Left biceps;6,833247;0,162841796875;-0,75244140625;0,04931640625;-4,85992431641;-54,1458129883;45,3491210938
Right hand;6,834933;0,99462890625;-0,222412109375;0,1875;-41,5420532227;-29,7622680664;-63,6672973633
Right forearm;6,839827;-0,186767578125;-0,732177734375;0,488525390625;-31,867980957;74,2492675781;-91,7129516602
Right biceps;6,841340;-0,28515625;-0,632568359375;0,328857421875;-13,2522583008;18,196105957;7,01141357422
Left shoulder;6,844364;-0,02783203125;0,87255859375;0,460693359375;-1,51824951172;-25,2304077148;-30,7922363281
Right shoulder;6,845831;-0,296875;0,65576171875;0,317138671875;60,8291625977;-80,436706543;-50,3234863281
Back pelvis;6,847626;0,79345703125;-0,16796875;0,166748046875;34,8358154297;7,56072998047;23,9028930664
Front pelvis;6,852309;1,04711914062;0,23779296875;0,0927734375;20,0042724609;2,54058837891;5,46264648438
Belly button;6,855810;0,248291015625;0,98046875;0,133056640625;3,39508056641;2,41851806641;19,2794799805
Sternum;6,857547;0,712158203125;-0,015625;0,677490234375;33,4777832031;9,71221923828;40,52734375
Head;6,859843;0,885986328125;-0,0625;0,15625;6,40869140625;-17,0135498047;-16,0675048828
Left thigh;6,863348;-0,136962890625;-0,5634765625;-0,01220703125;-22,1557617188;140,693664551;-17,0364379883
Left tibia;6,866513;0,483642578125;-0,845947265625;-0,118896484375;-18,928527832;-5,06591796875;70,6253051758
Left foot;6,868431;0,327392578125;0,006591796875;0,97900390625;-10,612487793;-24,1088867188;18,0053710938
Right thigh;6,869698;0,224853515625;-0,760009765625;0,38134765625;57,3043823242;-57,12890625;-4,70733642578
Right tibia;6,870911;0,742431640625;-0,85107421875;0,00732421875;-17,448425293;177,925109863;102,035522461
Right foot;6,873301;0,04833984375;-0,226318359375;0,95263671875;-50,5599975586;-83,5952758789;-64,8422241211
Left hand;6,875331;1,16137695312;0,408447265625;0,385986328125;-34,3780517578;12,6419067383;-60,1348876953
Left forearm;6,876665;-0,017578125;-0,974365234375;0,4326171875;-70,5718994141;-37,712097168;78,5751342773
Left biceps;6,877830;0,187255859375;-0,87890625;0,043701171875;-6,19506835938;-66,1926269531;39,3142700195
Right hand;6,880451;1,0751953125;-0,327880859375;0,25341796875;-15,4266357422;-37,3382568359;-67,0166015625
Right forearm;6,881654;-0,579833984375;-0,77197265625;0,362060546875;-10,5514526367;96,0464477539;-45,0210571289
Right biceps;6,882853;-0,20556640625;-0,7431640625;0,3330078125;14,7018432617;57,7621459961;-16,2887573242
Left shoulder;6,885130;0,019775390625;0,8056640625;0,375732421875;1,93786621094;-21,97265625;-33,9965820312
Right shoulder;6,889777;-0,291015625;0,714111328125;0,329345703125;62,6449584961;-73,6618041992;-42,4499511719
Back pelvis;6,891168;0,811767578125;-0,117431640625;0,277587890625;34,4696044922;16,5863037109;26,1306762695
Front pelvis;6,892346;0,963623046875;0,2138671875;-0,019775390625;10,9558105469;7,46917724609;8,38470458984
Belly button;6,893533;0,32470703125;1,02685546875;0,097412109375;3,82995605469;8,46862792969;20,7595825195
Sternum;6,896022;0,73291015625;-0,07958984375;0,7578125;24,6887207031;0,396728515625;40,1458740234
Head;6,897197;0,954345703125;-0,065185546875;0,16064453125;11,2762451172;-11,360168457;-10,871887207
Left thigh;6,898357;-0,41015625;-0,497314453125;-0,08740234375;-11,6882324219;36,7813110352;6,66809082031
Left tibia;6,899594;0,458984375;-0,90283203125;-0,08642578125;-20,7138061523;-6,79779052734;99,479675293
Left foot;6,901937;0,307861328125;0,0126953125;0,99853515625;-30,3497314453;-88,020324707;15,7089233398
Right thigh;6,903158;-0,21630859375;-1,078125;0,394775390625;22,0413208008;3,72314453125;-11,71875
Right tibia;6,904351;0,199462890625;-1,10888671875;-0,054443359375;-24,6887207031;93,1091308594;-7,46917724609
