1534706974.31317806243896484375, [64, 56]
1534706974.436973094940185546875, [64, 8]
1534706974.43741607666015625, [64, 152]
1534706974.437860965728759765625, [64, 64]
1534706974.438304901123046875, [64, 104]
1534706974.4387910366058349609375, [64, 160]
1534706974.439238071441650390625, [64, 64]
1534706974.4396870136260986328125, [64, 72]
1534706974.44013690948486328125, [64, 16]
1534706974.4405810832977294921875, [64, 104]
1534706974.4410130977630615234375, [64, 112]
1534706974.4414501190185546875, [63, 240]
1534706974.44188594818115234375, [64, 240]
1534706974.4423220157623291015625, [64, 120]
1534706974.442822933197021484375, [64, 48]
1534706974.4432659149169921875, [64, 16]
1534706974.443746089935302734375, [64, 160]
1534706974.4444639682769775390625, [64, 160]
1534706974.444984912872314453125, [64, 120]
1534706974.445457935333251953125, [64, 56]
1534706974.4459149837493896484375, [64, 192]
1534706974.4463570117950439453125, [64, 48]
1534706974.4468829631805419921875, [64, 112]
1534706974.447331905364990234375, [63, 240]
1534706974.447782993316650390625, [63, 248]
1534706974.448235988616943359375, [64, 192]
1534706974.4486811161041259765625, [64, 104]
1534706974.449121952056884765625, [64, 56]
1534706974.4495699405670166015625, [64, 88]
1534706974.4500141143798828125, [64, 56]
1534706974.450498104095458984375, [64, 48]
1534706974.4509389400482177734375, [64, 208]
1534706974.4513950347900390625, [64, 136]
1534706974.4518430233001708984375, [64, 112]
1534706974.4522860050201416015625, [64, 128]
1534706974.45273494720458984375, [64, 136]
1534706974.453174114227294921875, [64, 136]
1534706974.453648090362548828125, [64, 72]
1534706974.4540860652923583984375, [64, 200]
1534706974.4545440673828125, [64, 208]
1534706974.454986095428466796875, [64, 144]
1534706974.4554369449615478515625, [64, 104]
1534706974.4558870792388916015625, [64, 136]
1534706974.456325054168701171875, [64, 56]
1534706974.4567639827728271484375, [64, 104]
1534706974.4572069644927978515625, [64, 144]
1534706974.4576508998870849609375, [64, 152]
1534706974.4580900669097900390625, [64, 72]
1534706974.4585430622100830078125, [64, 128]
1534706974.45897197723388671875, [64, 184]
1534706974.459415912628173828125, [64, 72]
1534706974.4598629474639892578125, [64, 128]
1534706974.460299015045166015625, [64, 152]
1534706974.46074199676513671875, [64, 48]
1534706974.461183071136474609375, [64, 0]
1534706974.4616239070892333984375, [64, 40]
1534706974.4620640277862548828125, [64, 56]
1534706974.46251010894775390625, [65, 8]
1534706974.4629709720611572265625, [64, 232]
1534706974.46341800689697265625, [64, 112]
1534706974.4638650417327880859375, [64, 88]
1534706974.464315891265869140625, [64, 128]
1534706974.4647610187530517578125, [64, 192]
1534706974.4652040004730224609375, [64, 104]
1534706974.4656450748443603515625, [64, 40]
1534706974.4660909175872802734375, [64, 104]
1534706974.46654605865478515625, [64, 88]
1534706974.466990947723388671875, [64, 144]
1534706974.4674370288848876953125, [64, 160]
1534706974.4678781032562255859375, [64, 120]
1534706974.4683210849761962890625, [64, 200]
1534706974.468759059906005859375, [64, 144]
1534706974.4691989421844482421875, [64, 24]
1534706974.4696390628814697265625, [64, 88]
1534706974.470077991485595703125, [64, 96]
1534706974.470530986785888671875, [64, 192]
1534706974.47097110748291015625, [64, 32]
1534706974.4714100360870361328125, [64, 80]
1534706974.4718520641326904296875, [64, 136]
1534706974.47243499755859375, [64, 56]
1534706974.47290897369384765625, [64, 16]
1534706974.4733641147613525390625, [64, 56]
1534706974.473803997039794921875, [64, 104]
1534706974.474257946014404296875, [64, 56]
1534706974.47475910186767578125, [64, 200]
1534706974.475224018096923828125, [64, 144]
1534706974.47566699981689453125, [64, 192]
1534706974.4761049747467041015625, [64, 152]
1534706974.4765529632568359375, [64, 80]
1534706974.4770019054412841796875, [64, 136]
1534706974.477447032928466796875, [64, 72]
1534706974.4778769016265869140625, [64, 48]
1534706974.4783179759979248046875, [64, 48]
1534706974.478807926177978515625, [64, 48]
1534706974.479260921478271484375, [64, 192]
1534706974.4797060489654541015625, [64, 128]
1534706974.48015308380126953125, [64, 96]
1534706974.4805939197540283203125, [64, 176]
1534706974.4810390472412109375, [64, 232]
1534706974.4815208911895751953125, [64, 248]
1534706974.48198604583740234375, [64, 80]
1534706974.4824750423431396484375, [64, 112]
1534706974.4829289913177490234375, [64, 160]
1534706974.4833829402923583984375, [64, 128]
1534706974.4838240146636962890625, [64, 128]
1534706974.48427104949951171875, [64, 104]
1534706974.4847190380096435546875, [64, 56]
1534706974.485168933868408203125, [65, 40]
1534706974.4856040477752685546875, [64, 208]
1534706974.48604106903076171875, [64, 184]
1534706974.4864890575408935546875, [64, 176]
1534706974.48717498779296875, [64, 104]
1534706974.4876959323883056640625, [64, 232]
1534706974.4881598949432373046875, [64, 16]
1534706974.4886119365692138671875, [64, 56]
1534706974.4890630245208740234375, [64, 96]
1534706974.4895060062408447265625, [64, 136]
1534706974.4899489879608154296875, [64, 104]
1534706974.4903891086578369140625, [64, 112]
1534706974.4909069538116455078125, [64, 216]
1534706974.4991419315338134765625, [64, 200]
1534706974.4999310970306396484375, [64, 152]
1534706974.5005080699920654296875, [64, 120]
1534706974.5010280609130859375, [64, 176]
1534706974.5015289783477783203125, [64, 176]
1534706974.5020210742950439453125, [64, 144]
1534706974.50269794464111328125, [64, 104]
1534706974.506102085113525390625, [64, 160]
1534706974.5071818828582763671875, [64, 32]
1534706974.50780010223388671875, [64, 200]
1534706974.50835704803466796875, [64, 152]
1534706974.508985996246337890625, [64, 176]
1534706974.50952911376953125, [64, 136]
1534706974.5100901126861572265625, [64, 72]
1534706974.5107018947601318359375, [64, 112]
1534706974.5148670673370361328125, [64, 64]
1534706974.5155880451202392578125, [64, 152]
1534706974.5161569118499755859375, [64, 232]
1534706974.5166900157928466796875, [64, 80]
1534706974.517282962799072265625, [63, 208]
1534706974.51782703399658203125, [64, 128]
1534706974.518332004547119140625, [64, 88]
1534706974.5189669132232666015625, [64, 104]
1534706974.5195178985595703125, [64, 112]
1534706974.520040035247802734375, [64, 80]
1534706974.522945880889892578125, [64, 40]
1534706974.52371311187744140625, [64, 184]
1534706974.52474689483642578125, [64, 64]
1534706974.525413036346435546875, [64, 8]
1534706974.5259530544281005859375, [64, 80]
1534706974.5266349315643310546875, [64, 104]
1534706974.5310211181640625, [64, 72]
1534706974.5318520069122314453125, [64, 72]
1534706974.5324420928955078125, [64, 16]
1534706974.532970905303955078125, [64, 184]
1534706974.5334699153900146484375, [64, 144]
1534706974.5339930057525634765625, [64, 184]
1534706974.534657955169677734375, [64, 120]
1534706974.535293102264404296875, [64, 144]
1534706974.5358440876007080078125, [64, 200]
1534706974.536365985870361328125, [64, 192]
1534706974.5371520519256591796875, [64, 56]
1534706974.53771209716796875, [64, 80]
1534706974.538188934326171875, [63, 240]
1534706974.538815975189208984375, [64, 128]
1534706974.5393159389495849609375, [64, 40]
1534706974.5397698879241943359375, [64, 72]
1534706974.5402069091796875, [64, 160]
1534706974.5406360626220703125, [64, 48]
1534706974.5410659313201904296875, [64, 184]
1534706974.541491985321044921875, [64, 104]
1534706974.54191303253173828125, [65, 8]
1534706974.542335033416748046875, [64, 120]
1534706974.5430428981781005859375, [64, 104]
1534706974.543529033660888671875, [63, 224]
1534706974.5439779758453369140625, [64, 48]
1534706974.544406890869140625, [64, 184]
1534706974.5448400974273681640625, [64, 120]
1534706974.54526996612548828125, [64, 24]
1534706974.545751094818115234375, [63, 240]
1534706974.5461928844451904296875, [64, 32]
1534706974.54673004150390625, [64, 40]
1534706974.54720592498779296875, [64, 232]
1534706974.5476520061492919921875, [64, 192]
1534706974.5480899810791015625, [64, 120]
1534706974.5485169887542724609375, [64, 40]
1534706974.548944950103759765625, [64, 56]
1534706974.5493690967559814453125, [64, 120]
1534706974.5497910976409912109375, [64, 96]
1534706974.5502169132232666015625, [64, 120]
1534706974.550807952880859375, [64, 72]
1534706974.551300048828125, [64, 160]
1534706974.5517570972442626953125, [64, 200]
1534706974.552216053009033203125, [64, 72]
1534706974.552661895751953125, [64, 48]
1534706974.5531139373779296875, [64, 120]
1534706974.553554058074951171875, [64, 144]
1534706974.55399990081787109375, [64, 56]
1534706974.554480075836181640625, [64, 200]
1534706974.554975986480712890625, [64, 152]
1534706974.5554320812225341796875, [64, 56]
1534706974.5558850765228271484375, [64, 224]
1534706974.5563309192657470703125, [64, 72]
1534706974.55677700042724609375, [64, 152]
1534706974.557221889495849609375, [64, 128]
1534706974.5579929351806640625, [64, 56]
1534706974.5585429668426513671875, [64, 240]
1534706974.5590269565582275390625, [64, 88]
1534706974.5594890117645263671875, [64, 72]
1534706974.559937000274658203125, [64, 24]
1534706974.5603940486907958984375, [64, 224]
1534706974.5608389377593994140625, [63, 160]
1534706974.56128692626953125, [64, 144]
1534706974.5617330074310302734375, [64, 88]
1534706974.5621778964996337890625, [64, 112]
1534706974.56266689300537109375, [64, 184]
1534706974.5631229877471923828125, [64, 136]
1534706974.563581943511962890625, [65, 32]
1534706974.564034938812255859375, [64, 160]
1534706974.56447505950927734375, [64, 160]
1534706974.5649631023406982421875, [64, 48]
1534706974.565412998199462890625, [64, 16]
1534706974.565866947174072265625, [64, 88]
1534706974.56630611419677734375, [64, 0]
1534706974.5668160915374755859375, [64, 8]
1534706974.5672760009765625, [64, 56]
1534706974.5677280426025390625, [64, 24]
1534706974.5681750774383544921875, [64, 112]
1534706974.5686209201812744140625, [64, 56]
1534706974.569065093994140625, [64, 72]
1534706974.5695040225982666015625, [65, 48]
1534706974.56993389129638671875, [64, 176]
1534706974.570373058319091796875, [64, 96]
1534706974.5708720684051513671875, [64, 176]
1534706974.571319103240966796875, [64, 176]
1534706974.5717689990997314453125, [64, 208]
1534706974.5721991062164306640625, [64, 224]
1534706974.572822093963623046875, [64, 216]
1534706974.5732929706573486328125, [64, 128]
1534706974.573750972747802734375, [64, 208]
1534706974.5742070674896240234375, [64, 80]
1534706974.57476711273193359375, [64, 208]
1534706974.575233936309814453125, [64, 184]
1534706974.5756781101226806640625, [64, 152]
1534706974.5761220455169677734375, [64, 176]
1534706974.576570987701416015625, [64, 112]
1534706974.5770170688629150390625, [64, 208]
1534706974.5774500370025634765625, [64, 200]
1534706974.5778961181640625, [64, 216]
1534706974.5783379077911376953125, [64, 160]
1534706974.5788409709930419921875, [64, 240]
1534706974.5792999267578125, [64, 40]
1534706974.5797450542449951171875, [64, 160]
1534706974.5801899433135986328125, [64, 112]
1534706974.5806319713592529296875, [64, 72]
1534706974.5810730457305908203125, [65, 32]
1534706974.5815160274505615234375, [64, 104]
1534706974.5819530487060546875, [64, 120]
1534706974.5823929309844970703125, [64, 72]
1534706974.58287906646728515625, [64, 200]
1534706974.583323955535888671875, [64, 104]
1534706974.583798885345458984375, [63, 240]
1534706974.584249019622802734375, [64, 64]
1534706974.5846889019012451171875, [64, 144]
1534706974.5851409435272216796875, [64, 0]
1534706974.585585117340087890625, [64, 64]
1534706974.58602809906005859375, [64, 184]
1534706974.586483001708984375, [65, 64]
1534706974.5869309902191162109375, [64, 112]
1534706974.5873720645904541015625, [64, 112]
1534706974.5878150463104248046875, [64, 160]
1534706974.5882549285888671875, [64, 152]
1534706974.588696002960205078125, [64, 176]
1534706974.5891320705413818359375, [64, 200]
1534706974.5895709991455078125, [64, 80]
1534706974.590013980865478515625, [64, 80]
1534706974.5904920101165771484375, [64, 184]
1534706974.5909340381622314453125, [64, 216]
1534706974.59138202667236328125, [63, 184]
1534706974.5918281078338623046875, [64, 64]
1534706974.5922739505767822265625, [64, 184]
1534706974.5927159786224365234375, [64, 80]
1534706974.593203067779541015625, [64, 144]
1534706974.5936419963836669921875, [64, 184]
1534706974.59409809112548828125, [64, 128]
1534706974.5945479869842529296875, [64, 144]
1534706974.5949890613555908203125, [64, 144]
1534706974.5954248905181884765625, [64, 248]
1534706974.59586811065673828125, [64, 232]
1534706974.5963099002838134765625, [64, 112]
1534706974.5967490673065185546875, [64, 112]
1534706974.5971848964691162109375, [64, 8]
1534706974.5976231098175048828125, [63, 248]
1534706974.5980589389801025390625, [64, 16]
1534706974.598493099212646484375, [63, 232]
1534706974.5989398956298828125, [64, 128]
1534706974.5993840694427490234375, [64, 144]
1534706974.59982395172119140625, [64, 112]
1534706974.600265979766845703125, [64, 208]
1534706974.60097503662109375, [64, 216]
1534706974.6014919281005859375, [64, 24]
1534706974.6019580364227294921875, [65, 8]
1534706974.602406024932861328125, [64, 96]
1534706974.60297107696533203125, [64, 192]
1534706974.603437900543212890625, [64, 104]
1534706974.603888988494873046875, [64, 8]
1534706974.6043369770050048828125, [64, 160]
1534706974.6047809123992919921875, [64, 96]
1534706974.605225086212158203125, [64, 160]
1534706974.6056659221649169921875, [64, 144]
1534706974.6061069965362548828125, [64, 112]
1534706974.6065509319305419921875, [64, 144]
1534706974.6070001125335693359375, [64, 136]
1534706974.607440948486328125, [64, 104]
1534706974.60787200927734375, [64, 72]
1534706974.6083049774169921875, [64, 144]
1534706974.60873889923095703125, [64, 80]
1534706974.6092870235443115234375, [64, 48]
1534706974.609767913818359375, [64, 120]
1534706974.610230922698974609375, [64, 160]
1534706974.610742092132568359375, [64, 112]
1534706974.6112101078033447265625, [64, 56]
1534706974.6116640567779541015625, [64, 96]
1534706974.612142086029052734375, [64, 112]
1534706974.6126000881195068359375, [64, 144]
1534706974.6130421161651611328125, [64, 64]
1534706974.6134850978851318359375, [64, 56]
1534706974.613933086395263671875, [64, 64]
1534706974.6143798828125, [64, 144]
1534706974.614881992340087890625, [64, 88]
1534706974.615325927734375, [64, 136]
1534706974.615767955780029296875, [64, 160]
1534706974.6162269115447998046875, [64, 120]
1534706974.6166670322418212890625, [63, 160]
1534706974.6171109676361083984375, [64, 128]
1534706974.6175549030303955078125, [64, 32]
1534706974.6179959774017333984375, [64, 176]
1534706974.6184771060943603515625, [64, 88]
1534706974.6189219951629638671875, [63, 240]
1534706974.6193759441375732421875, [64, 16]
1534706974.619823932647705078125, [64, 120]
1534706974.620265960693359375, [65, 24]
1534706974.620707035064697265625, [63, 240]
1534706974.6211490631103515625, [64, 224]
1534706974.621612071990966796875, [64, 240]
1534706974.6220619678497314453125, [64, 72]
1534706974.6225240230560302734375, [64, 184]
1534706974.6229789257049560546875, [64, 160]
1534706974.6234319210052490234375, [64, 104]
1534706974.623867034912109375, [64, 16]
1534706974.6243040561676025390625, [64, 88]
1534706974.6247560977935791015625, [64, 176]
1534706974.625196933746337890625, [64, 64]
1534706974.62563991546630859375, [64, 200]
1534706974.626079082489013671875, [65, 16]
1534706974.6265299320220947265625, [64, 152]
1534706974.62697696685791015625, [64, 96]
1534706974.627417087554931640625, [64, 160]
1534706974.6278591156005859375, [64, 200]
1534706974.6283009052276611328125, [64, 240]
1534706974.628737926483154296875, [63, 248]
1534706974.62917804718017578125, [64, 240]
1534706974.6296250820159912109375, [64, 112]
1534706974.6300690174102783203125, [64, 56]
1534706974.6305129528045654296875, [64, 96]
1534706974.638843059539794921875, [64, 72]
1534706974.63967990875244140625, [64, 192]
1534706974.6402580738067626953125, [64, 120]
1534706974.6407740116119384765625, [64, 176]
1534706974.6412661075592041015625, [64, 112]
1534706974.64175891876220703125, [64, 216]
1534706974.6422328948974609375, [64, 160]
1534706974.64568805694580078125, [64, 176]
1534706974.6466600894927978515625, [64, 80]
1534706974.647305965423583984375, [64, 112]
1534706974.647883892059326171875, [64, 104]
1534706974.6483991146087646484375, [63, 248]
1534706974.648890972137451171875, [64, 8]
1534706974.649425029754638671875, [64, 24]
1534706974.6549971103668212890625, [64, 136]
1534706974.6557910442352294921875, [64, 152]
1534706974.6564071178436279296875, [64, 184]
1534706974.65692901611328125, [64, 104]
1534706974.6574399471282958984375, [64, 208]
1534706974.6580040454864501953125, [64, 144]
1534706974.6586589813232421875, [64, 208]
1534706974.6592209339141845703125, [64, 216]
1534706974.6597549915313720703125, [64, 64]
1534706974.6602709293365478515625, [64, 80]
1534706974.6629450321197509765625, [64, 112]
1534706974.6636979579925537109375, [64, 216]
1534706974.664246082305908203125, [64, 48]
1534706974.66475391387939453125, [64, 136]
1534706974.665546894073486328125, [64, 120]
1534706974.66683292388916015625, [64, 72]
1534706974.6703150272369384765625, [64, 64]
1534706974.67138004302978515625, [64, 48]
1534706974.6719839572906494140625, [64, 40]
1534706974.672772884368896484375, [64, 216]
1534706974.6733610630035400390625, [64, 16]
1534706974.67387104034423828125, [64, 56]
1534706974.6743910312652587890625, [64, 248]
1534706974.6757080554962158203125, [64, 72]
1534706974.676300048828125, [64, 192]
1534706974.67679500579833984375, [64, 136]
1534706974.6772420406341552734375, [64, 144]
1534706974.67768096923828125, [64, 96]
1534706974.6781070232391357421875, [63, 232]
1534706974.67860698699951171875, [64, 8]
1534706974.6790859699249267578125, [63, 184]
1534706974.679543972015380859375, [64, 160]
1534706974.679977893829345703125, [65, 8]
1534706974.6804111003875732421875, [63, 232]
1534706974.680841922760009765625, [64, 40]
1534706974.6812698841094970703125, [65, 16]
1534706974.6816980838775634765625, [64, 144]
1534706974.6821269989013671875, [64, 152]
1534706974.682775020599365234375, [64, 88]
1534706974.68327808380126953125, [64, 184]
1534706974.6837389469146728515625, [64, 224]
1534706974.684175968170166015625, [64, 144]
1534706974.6846110820770263671875, [64, 232]
1534706974.685039043426513671875, [64, 112]
1534706974.685512065887451171875, [65, 24]
1534706974.6859500408172607421875, [65, 16]
1534706974.686376094818115234375, [64, 112]
1534706974.6869869232177734375, [64, 96]
1534706974.6874330043792724609375, [64, 112]
1534706974.6878719329833984375, [64, 136]
1534706974.68830108642578125, [64, 40]
1534706974.6887340545654296875, [64, 224]
1534706974.689157009124755859375, [64, 48]
1534706974.68957996368408203125, [64, 80]
1534706974.6900041103363037109375, [64, 144]
1534706974.6905429363250732421875, [64, 216]
1534706974.6910269260406494140625, [64, 120]
1534706974.6914920806884765625, [64, 152]
1534706974.69194507598876953125, [64, 208]
1534706974.6923999786376953125, [64, 208]
1534706974.69285297393798828125, [64, 120]
1534706974.69330501556396484375, [64, 176]
1534706974.6937439441680908203125, [64, 120]
1534706974.6941869258880615234375, [64, 136]
1534706974.6946771144866943359375, [64, 24]
1534706974.6951529979705810546875, [64, 176]
1534706974.695620059967041015625, [64, 112]
1534706974.696075916290283203125, [64, 40]
1534706974.6965129375457763671875, [65, 40]
1534706974.696960926055908203125, [64, 96]
1534706974.69740390777587890625, [64, 72]
1534706974.697845935821533203125, [64, 40]
1534706974.69828510284423828125, [64, 136]
1534706974.6987869739532470703125, [64, 72]
1534706974.6992480754852294921875, [64, 120]
1534706974.69968700408935546875, [64, 0]
1534706974.7001340389251708984375, [64, 160]
1534706974.7005650997161865234375, [64, 112]
1534706974.7010090351104736328125, [64, 152]
1534706974.701446056365966796875, [64, 64]
1534706974.7018959522247314453125, [64, 176]
1534706974.7023370265960693359375, [64, 232]
1534706974.702828884124755859375, [64, 48]
1534706974.703279972076416015625, [64, 112]
1534706974.7037160396575927734375, [64, 160]
1534706974.7042000293731689453125, [64, 24]
1534706974.70464611053466796875, [64, 56]
1534706974.7050991058349609375, [64, 144]
1534706974.7055408954620361328125, [64, 120]
1534706974.7059819698333740234375, [64, 120]
1534706974.7064669132232666015625, [64, 64]
1534706974.7069149017333984375, [64, 216]
1534706974.707353115081787109375, [64, 152]
1534706974.7078011035919189453125, [64, 112]
1534706974.708239078521728515625, [64, 120]
1534706974.708673000335693359375, [64, 72]
1534706974.7091090679168701171875, [64, 48]
1534706974.7096979618072509765625, [64, 144]
1534706974.7101600170135498046875, [64, 152]
1534706974.71061801910400390625, [64, 216]
1534706974.7110850811004638671875, [64, 144]
1534706974.711534976959228515625, [64, 80]
1534706974.7119810581207275390625, [64, 208]
1534706974.71243190765380859375, [64, 184]
1534706974.712872028350830078125, [64, 88]
1534706974.71331691741943359375, [64, 128]
1534706974.7137730121612548828125, [64, 184]
1534706974.7142179012298583984375, [65, 32]
1534706974.7150619029998779296875, [63, 232]
1534706974.7156178951263427734375, [64, 144]
1534706974.716104030609130859375, [64, 192]
1534706974.716559886932373046875, [64, 160]
1534706974.717012882232666015625, [64, 200]
1534706974.717463970184326171875, [64, 128]
1534706974.717916011810302734375, [64, 104]
1534706974.7183589935302734375, [64, 88]
1534706974.718875885009765625, [64, 112]
1534706974.7193229198455810546875, [63, 240]
1534706974.7197821140289306640625, [64, 208]
1534706974.72023105621337890625, [64, 144]
1534706974.7206699848175048828125, [64, 80]
1534706974.7211129665374755859375, [65, 64]
1534706974.7215549945831298828125, [64, 96]
1534706974.7219998836517333984375, [64, 176]
1534706974.722485065460205078125, [64, 144]
1534706974.722938060760498046875, [64, 56]
1534706974.7234439849853515625, [64, 160]
1534706974.7239019870758056640625, [64, 152]
1534706974.7243568897247314453125, [64, 8]
1534706974.7248060703277587890625, [64, 144]
1534706974.7252368927001953125, [64, 40]
1534706974.7256820201873779296875, [64, 80]
1534706974.7261259555816650390625, [64, 120]
