1534707213.13813495635986328125, [64, 40, 247, 192]
1534707213.2200829982757568359375, [64, 96, 247, 168]
1534707213.2205669879913330078125, [64, 32, 247, 176]
1534707213.2210559844970703125, [64, 72, 248, 16]
1534707213.2218570709228515625, [64, 144, 247, 128]
1534707213.222412109375, [64, 56, 248, 32]
1534707213.2230269908905029296875, [64, 24, 248, 48]
1534707213.22354793548583984375, [64, 40, 247, 224]
1534707213.2240478992462158203125, [63, 200, 248, 0]
1534707213.2245490550994873046875, [63, 208, 247, 232]
1534707213.22504711151123046875, [64, 72, 247, 176]
1534707213.225543975830078125, [64, 32, 247, 184]
1534707213.2260301113128662109375, [64, 176, 247, 200]
1534707213.2269690036773681640625, [64, 24, 247, 168]
1534707213.228321075439453125, [64, 160, 247, 184]
1534707213.2295229434967041015625, [64, 120, 248, 64]
1534707213.2307488918304443359375, [63, 240, 247, 128]
1534707213.2320930957794189453125, [64, 152, 247, 176]
1534707213.233295917510986328125, [64, 120, 247, 120]
1534707213.2345829010009765625, [64, 160, 247, 224]
1534707213.2357890605926513671875, [64, 192, 247, 208]
1534707213.2365529537200927734375, [64, 72, 247, 96]
1534707213.2370650768280029296875, [64, 64, 248, 24]
1534707213.2375690937042236328125, [64, 24, 248, 64]
1534707213.2380640506744384765625, [64, 48, 247, 184]
1534707213.238585948944091796875, [64, 72, 247, 72]
1534707213.239079952239990234375, [64, 64, 248, 8]
1534707213.23956394195556640625, [64, 152, 248, 24]
1534707213.2400510311126708984375, [64, 8, 247, 48]
1534707213.2405359745025634765625, [64, 112, 248, 0]
1534707213.2410380840301513671875, [63, 184, 248, 40]
1534707213.2415349483489990234375, [64, 16, 247, 232]
1534707213.24203205108642578125, [64, 24, 248, 16]
1534707213.2425310611724853515625, [64, 112, 248, 120]
1534707213.243022918701171875, [64, 32, 247, 248]
1534707213.243506908416748046875, [64, 80, 247, 216]
1534707213.2440049648284912109375, [64, 136, 247, 240]
1534707213.2444870471954345703125, [63, 200, 247, 128]
1534707213.2450339794158935546875, [64, 16, 247, 168]
1534707213.245542049407958984375, [63, 128, 248, 8]
1534707213.246036052703857421875, [63, 208, 247, 160]
1534707213.2465369701385498046875, [64, 16, 247, 208]
1534707213.2470300197601318359375, [64, 56, 248, 16]
1534707213.247519016265869140625, [64, 56, 248, 40]
1534707213.248012065887451171875, [64, 144, 248, 104]
1534707213.2485120296478271484375, [64, 96, 248, 40]
1534707213.2490100860595703125, [63, 176, 247, 192]
1534707213.2495090961456298828125, [64, 32, 248, 24]
1534707213.2500030994415283203125, [63, 240, 247, 200]
1534707213.2505009174346923828125, [64, 136, 247, 120]
1534707213.2509939670562744140625, [64, 88, 247, 184]
1534707213.251492023468017578125, [64, 64, 248, 88]
1534707213.2519829273223876953125, [64, 40, 248, 16]
1534707213.252482891082763671875, [63, 240, 247, 232]
1534707213.2529709339141845703125, [64, 112, 248, 16]
1534707213.2534759044647216796875, [64, 48, 247, 200]
1534707213.253962039947509765625, [64, 120, 247, 192]
1534707213.2545149326324462890625, [64, 208, 247, 216]
1534707213.255023956298828125, [63, 208, 248, 88]
1534707213.2555720806121826171875, [63, 208, 247, 232]
1534707213.2560899257659912109375, [64, 72, 247, 216]
1534707213.25658893585205078125, [63, 232, 248, 32]
1534707213.2570819854736328125, [64, 48, 248, 16]
1534707213.2575740814208984375, [64, 112, 248, 72]
1534707213.258061885833740234375, [64, 32, 248, 56]
1534707213.2585659027099609375, [64, 72, 247, 208]
1534707213.2590548992156982421875, [63, 152, 247, 192]
1534707213.259543895721435546875, [64, 48, 247, 184]
1534707213.2600319385528564453125, [64, 72, 248, 104]
1534707213.2605240345001220703125, [64, 112, 247, 176]
1534707213.261435985565185546875, [64, 24, 248, 184]
1534707213.2622001171112060546875, [64, 72, 247, 128]
1534707213.2627909183502197265625, [64, 64, 247, 152]
1534707213.26329708099365234375, [64, 128, 248, 96]
1534707213.2637970447540283203125, [64, 80, 248, 88]
1534707213.2642910480499267578125, [64, 16, 248, 0]
1534707213.2647879123687744140625, [64, 0, 246, 240]
1534707213.2652759552001953125, [64, 104, 248, 0]
1534707213.2657630443572998046875, [64, 72, 247, 248]
1534707213.2662589550018310546875, [64, 56, 247, 200]
1534707213.2668559551239013671875, [64, 144, 247, 144]
1534707213.2676448822021484375, [64, 96, 247, 160]
1534707213.2682058811187744140625, [64, 16, 247, 192]
1534707213.26873111724853515625, [64, 64, 247, 112]
1534707213.2692348957061767578125, [63, 200, 248, 16]
1534707213.2697350978851318359375, [64, 96, 248, 8]
1534707213.2702329158782958984375, [64, 128, 248, 88]
1534707213.270823955535888671875, [64, 128, 247, 208]
1534707213.271356105804443359375, [64, 96, 247, 160]
1534707213.2718660831451416015625, [64, 160, 247, 240]
1534707213.2723720073699951171875, [64, 40, 248, 72]
1534707213.272869110107421875, [64, 32, 248, 152]
1534707213.2733609676361083984375, [64, 120, 247, 240]
1534707213.2738530635833740234375, [63, 232, 247, 224]
1534707213.2743480205535888671875, [63, 176, 248, 16]
1534707213.274919033050537109375, [64, 16, 248, 72]
1534707213.2754309177398681640625, [64, 16, 247, 200]
1534707213.275930881500244140625, [64, 120, 247, 232]
1534707213.276422977447509765625, [64, 184, 248, 144]
1534707213.276916027069091796875, [64, 160, 247, 240]
1534707213.2774550914764404296875, [64, 152, 248, 0]
1534707213.277964115142822265625, [64, 200, 248, 80]
1534707213.2785060405731201171875, [64, 208, 248, 0]
1534707213.2790191173553466796875, [64, 200, 248, 112]
1534707213.2795159816741943359375, [64, 32, 248, 16]
1534707213.280005931854248046875, [64, 160, 248, 40]
1534707213.2804958820343017578125, [64, 224, 247, 208]
1534707213.280992984771728515625, [64, 88, 247, 152]
1534707213.281485080718994140625, [64, 120, 247, 192]
1534707213.2819650173187255859375, [64, 144, 248, 16]
1534707213.282496929168701171875, [64, 144, 248, 56]
1534707213.283000946044921875, [64, 8, 248, 8]
1534707213.283504009246826171875, [63, 192, 247, 216]
1534707213.283999919891357421875, [63, 240, 247, 120]
1534707213.2844979763031005859375, [64, 96, 247, 160]
1534707213.284986019134521484375, [64, 0, 248, 64]
1534707213.28547000885009765625, [64, 72, 247, 232]
1534707213.2859609127044677734375, [64, 40, 248, 24]
1534707213.2864990234375, [64, 120, 247, 224]
1534707213.2869880199432373046875, [64, 64, 247, 200]
1534707213.287519931793212890625, [64, 152, 248, 72]
1534707213.2880289554595947265625, [64, 96, 247, 168]
1534707213.288527011871337890625, [64, 24, 247, 144]
1534707213.289021968841552734375, [64, 136, 248, 8]
1534707213.289516925811767578125, [63, 144, 248, 32]
1534707213.2900021076202392578125, [64, 40, 248, 0]
1534707213.290501117706298828125, [64, 64, 247, 160]
1534707213.29100894927978515625, [64, 152, 247, 104]
1534707213.29150390625, [64, 120, 247, 232]
1534707213.2919909954071044921875, [63, 152, 247, 200]
1534707213.2924768924713134765625, [64, 96, 247, 232]
1534707213.2929589748382568359375, [64, 56, 248, 16]
1534707213.293447017669677734375, [63, 200, 247, 96]
1534707213.29393100738525390625, [64, 8, 247, 208]
1534707213.2944591045379638671875, [63, 240, 247, 208]
1534707213.294969081878662109375, [64, 24, 248, 40]
1534707213.2954609394073486328125, [64, 120, 248, 72]
1534707213.295957088470458984375, [63, 224, 248, 32]
1534707213.296452999114990234375, [63, 240, 247, 48]
1534707213.2969429492950439453125, [64, 136, 247, 96]
1534707213.29742908477783203125, [64, 56, 247, 136]
1534707213.297957897186279296875, [64, 136, 247, 160]
1534707213.29850006103515625, [64, 160, 247, 144]
1534707213.299006938934326171875, [64, 56, 247, 248]
1534707213.3074710369110107421875, [64, 96, 247, 200]
1534707213.3082129955291748046875, [64, 56, 247, 232]
1534707213.3088359832763671875, [64, 16, 247, 136]
1534707213.309420108795166015625, [64, 48, 247, 128]
1534707213.3100070953369140625, [64, 40, 247, 232]
1534707213.310700893402099609375, [64, 8, 247, 200]
1534707213.31412792205810546875, [64, 8, 247, 120]
1534707213.31538105010986328125, [64, 56, 248, 0]
1534707213.3160970211029052734375, [64, 56, 248, 32]
1534707213.316708087921142578125, [64, 32, 248, 0]
1534707213.3173129558563232421875, [64, 104, 247, 224]
1534707213.3179171085357666015625, [63, 232, 247, 184]
1534707213.318634033203125, [63, 208, 247, 152]
1534707213.319264888763427734375, [64, 56, 248, 8]
1534707213.3271310329437255859375, [64, 40, 247, 200]
1534707213.3284909725189208984375, [63, 208, 247, 112]
1534707213.329193115234375, [64, 112, 248, 8]
1534707213.32979106903076171875, [64, 16, 248, 32]
1534707213.3303740024566650390625, [64, 216, 247, 192]
1534707213.3311951160430908203125, [64, 128, 247, 240]
1534707213.3317830562591552734375, [64, 56, 247, 208]
1534707213.3323459625244140625, [64, 96, 247, 176]
1534707213.3329179286956787109375, [64, 48, 247, 240]
1534707213.3351609706878662109375, [64, 96, 247, 176]
1534707213.33596706390380859375, [64, 88, 247, 192]
1534707213.336597919464111328125, [64, 56, 247, 112]
1534707213.3371789455413818359375, [64, 56, 247, 128]
1534707213.3389389514923095703125, [64, 152, 247, 224]
1534707213.3397281169891357421875, [64, 88, 247, 144]
1534707213.3403789997100830078125, [64, 104, 247, 176]
1534707213.340941905975341796875, [64, 144, 248, 24]
1534707213.3414609432220458984375, [64, 32, 247, 192]
1534707213.341949939727783203125, [63, 248, 247, 200]
1534707213.34259700775146484375, [64, 112, 247, 128]
1534707213.343151092529296875, [63, 192, 248, 8]
1534707213.3437230587005615234375, [64, 32, 248, 16]
1534707213.3442370891571044921875, [64, 0, 247, 144]
1534707213.34473896026611328125, [64, 24, 248, 0]
1534707213.345220088958740234375, [64, 144, 247, 232]
1534707213.345694065093994140625, [64, 8, 247, 224]
1534707213.3461658954620361328125, [64, 176, 247, 240]
1534707213.3468658924102783203125, [64, 80, 248, 120]
1534707213.347426891326904296875, [63, 232, 247, 240]
1534707213.3479421138763427734375, [64, 96, 247, 192]
1534707213.3484299182891845703125, [63, 224, 247, 168]
1534707213.348906993865966796875, [64, 56, 247, 248]
1534707213.349379062652587890625, [64, 152, 247, 192]
1534707213.3498508930206298828125, [64, 144, 248, 16]
1534707213.350325107574462890625, [64, 24, 248, 64]
1534707213.3509769439697265625, [64, 32, 247, 200]
1534707213.3514831066131591796875, [64, 224, 247, 248]
1534707213.3519690036773681640625, [65, 16, 248, 8]
1534707213.352447032928466796875, [64, 32, 248, 0]
1534707213.3529269695281982421875, [64, 16, 247, 144]
1534707213.3533999919891357421875, [64, 120, 248, 120]
1534707213.3538820743560791015625, [64, 224, 247, 216]
1534707213.3543899059295654296875, [64, 0, 248, 56]
1534707213.35507297515869140625, [64, 224, 248, 8]
1534707213.35558795928955078125, [64, 96, 247, 144]
1534707213.3560869693756103515625, [65, 0, 247, 160]
1534707213.35657596588134765625, [64, 72, 248, 16]
1534707213.357059955596923828125, [63, 232, 247, 248]
1534707213.3575370311737060546875, [64, 136, 247, 216]
1534707213.3580191135406494140625, [64, 72, 248, 88]
1534707213.3585360050201416015625, [64, 120, 248, 32]
1534707213.359054088592529296875, [64, 96, 248, 120]
1534707213.3595669269561767578125, [64, 8, 248, 8]
1534707213.3600599765777587890625, [64, 128, 248, 128]
1534707213.3605549335479736328125, [64, 80, 248, 16]
1534707213.3610589504241943359375, [64, 104, 248, 16]
1534707213.3615438938140869140625, [63, 208, 248, 144]
1534707213.3620469570159912109375, [64, 32, 248, 40]
1534707213.3625609874725341796875, [64, 72, 248, 152]
1534707213.363051891326904296875, [64, 48, 248, 16]
1534707213.363545894622802734375, [64, 8, 248, 0]
1534707213.3640320301055908203125, [64, 8, 248, 24]
1534707213.36456298828125, [64, 48, 247, 200]
1534707213.3650710582733154296875, [64, 152, 247, 176]
1534707213.365582942962646484375, [64, 80, 247, 192]
1534707213.366075038909912109375, [64, 96, 247, 200]
1534707213.36657810211181640625, [64, 136, 247, 152]
1534707213.3670670986175537109375, [64, 8, 248, 40]
1534707213.3675549030303955078125, [64, 200, 247, 216]
1534707213.3680460453033447265625, [64, 104, 247, 216]
1534707213.3685300350189208984375, [63, 248, 248, 8]
1534707213.3690280914306640625, [64, 96, 247, 160]
1534707213.369525909423828125, [64, 48, 247, 240]
1534707213.3700139522552490234375, [63, 232, 247, 168]
1534707213.3705070018768310546875, [64, 56, 248, 128]
1534707213.371015071868896484375, [64, 48, 247, 200]
1534707213.37154388427734375, [64, 64, 247, 168]
1534707213.37205600738525390625, [63, 208, 248, 152]
1534707213.3728559017181396484375, [64, 96, 248, 64]
1534707213.37343692779541015625, [64, 16, 247, 200]
1534707213.373960018157958984375, [64, 144, 247, 192]
1534707213.3745288848876953125, [64, 64, 247, 240]
1534707213.3750560283660888671875, [64, 64, 247, 224]
1534707213.3756229877471923828125, [64, 64, 247, 200]
1534707213.376141071319580078125, [64, 56, 247, 248]
1534707213.376636981964111328125, [64, 88, 248, 88]
1534707213.377130985260009765625, [64, 144, 247, 168]
1534707213.3776409626007080078125, [63, 240, 248, 8]
1534707213.378138065338134765625, [64, 0, 247, 80]
1534707213.378676891326904296875, [64, 80, 247, 200]
1534707213.37917804718017578125, [63, 248, 247, 248]
1534707213.3796761035919189453125, [64, 32, 248, 16]
1534707213.3801739215850830078125, [64, 160, 247, 208]
1534707213.3806591033935546875, [64, 8, 247, 232]
1534707213.3811490535736083984375, [63, 208, 247, 216]
1534707213.3816330432891845703125, [64, 56, 247, 216]
1534707213.3821189403533935546875, [64, 80, 248, 32]
1534707213.382656097412109375, [64, 128, 248, 40]
1534707213.383160114288330078125, [64, 120, 247, 248]
1534707213.383676052093505859375, [64, 152, 248, 72]
1534707213.384172916412353515625, [63, 248, 248, 40]
1534707213.3846619129180908203125, [63, 240, 247, 248]
1534707213.3851521015167236328125, [64, 80, 248, 8]
1534707213.3856360912322998046875, [63, 240, 247, 208]
1534707213.38615894317626953125, [64, 88, 247, 224]
1534707213.3867070674896240234375, [63, 176, 247, 216]
1534707213.3872210979461669921875, [64, 8, 248, 40]
1534707213.3877260684967041015625, [64, 104, 247, 184]
1534707213.38821697235107421875, [64, 48, 247, 168]
1534707213.3887069225311279296875, [64, 40, 247, 144]
1534707213.389194011688232421875, [64, 24, 247, 80]
1534707213.389687061309814453125, [64, 56, 248, 24]
1534707213.3901751041412353515625, [64, 64, 247, 232]
1534707213.3907001018524169921875, [63, 232, 247, 152]
1534707213.3912029266357421875, [64, 128, 248, 40]
1534707213.3917109966278076171875, [64, 160, 247, 152]
1534707213.3922030925750732421875, [64, 24, 248, 0]
1534707213.39268589019775390625, [63, 224, 247, 224]
1534707213.3931720256805419921875, [64, 200, 248, 48]
1534707213.3936579227447509765625, [64, 64, 248, 56]
1534707213.3941409587860107421875, [64, 24, 248, 32]
1534707213.394670009613037109375, [64, 96, 248, 40]
1534707213.3951690196990966796875, [64, 112, 248, 24]
1534707213.395658016204833984375, [64, 56, 247, 144]
1534707213.396194934844970703125, [63, 232, 248, 40]
1534707213.3967030048370361328125, [64, 32, 248, 32]
1534707213.3972070217132568359375, [64, 72, 248, 8]
1534707213.3977138996124267578125, [64, 32, 247, 176]
1534707213.398211002349853515625, [64, 80, 247, 232]
1534707213.39875507354736328125, [64, 104, 247, 208]
1534707213.3992578983306884765625, [64, 96, 247, 192]
1534707213.3997509479522705078125, [63, 168, 248, 32]
1534707213.40024089813232421875, [64, 104, 247, 168]
1534707213.4007279872894287109375, [63, 192, 248, 48]
1534707213.401215076446533203125, [64, 48, 247, 224]
1534707213.4017040729522705078125, [64, 64, 248, 0]
1534707213.40219211578369140625, [64, 24, 247, 16]
1534707213.40272808074951171875, [63, 144, 247, 144]
1534707213.403232097625732421875, [64, 152, 247, 136]
1534707213.403728008270263671875, [63, 248, 247, 224]
1534707213.40423107147216796875, [64, 72, 247, 112]
1534707213.404716968536376953125, [64, 144, 248, 48]
1534707213.405211925506591796875, [63, 240, 247, 136]
1534707213.405706882476806640625, [64, 40, 247, 208]
1534707213.4061949253082275390625, [64, 152, 247, 184]
1534707213.4067630767822265625, [64, 120, 247, 232]
1534707213.4072840213775634765625, [64, 48, 248, 16]
1534707213.40779209136962890625, [64, 96, 248, 0]
1534707213.4082849025726318359375, [64, 16, 248, 32]
1534707213.408771038055419921875, [64, 48, 247, 152]
1534707213.4092609882354736328125, [64, 104, 247, 184]
1534707213.409748077392578125, [64, 208, 247, 152]
1534707213.4102470874786376953125, [64, 48, 247, 168]
1534707213.4107940196990966796875, [64, 80, 247, 136]
1534707213.411303043365478515625, [63, 200, 248, 0]
1534707213.412046909332275390625, [64, 144, 247, 176]
1534707213.4126150608062744140625, [64, 32, 248, 88]
1534707213.413137912750244140625, [64, 136, 247, 192]
1534707213.4136450290679931640625, [64, 40, 248, 16]
1534707213.4141399860382080078125, [63, 240, 248, 48]
1534707213.4146881103515625, [64, 40, 248, 72]
1534707213.4152009487152099609375, [64, 104, 248, 0]
1534707213.4157030582427978515625, [64, 128, 247, 176]
1534707213.4161999225616455078125, [64, 136, 247, 168]
1534707213.4166939258575439453125, [64, 24, 247, 216]
1534707213.417232990264892578125, [64, 48, 247, 208]
1534707213.417746067047119140625, [64, 64, 247, 216]
1534707213.4182450771331787109375, [64, 16, 247, 184]
1534707213.41880893707275390625, [64, 24, 247, 184]
1534707213.419322967529296875, [64, 136, 248, 48]
1534707213.4198210239410400390625, [64, 8, 248, 64]
1534707213.4203178882598876953125, [64, 88, 247, 224]
1534707213.42080593109130859375, [64, 64, 247, 200]
1534707213.421289920806884765625, [64, 64, 247, 192]
1534707213.4217879772186279296875, [64, 32, 247, 104]
1534707213.4222850799560546875, [64, 24, 247, 200]
1534707213.4228360652923583984375, [64, 48, 247, 224]
1534707213.4233429431915283203125, [64, 64, 247, 96]
1534707213.423842906951904296875, [63, 224, 247, 192]
1534707213.4243319034576416015625, [63, 232, 248, 0]
1534707213.4248239994049072265625, [64, 104, 248, 24]
1534707213.4253089427947998046875, [64, 56, 248, 32]
1534707213.4258038997650146484375, [64, 144, 247, 200]
1534707213.426291942596435546875, [64, 0, 247, 240]
1534707213.426826953887939453125, [64, 56, 247, 240]
1534707213.427361011505126953125, [64, 128, 248, 0]
1534707213.4278609752655029296875, [63, 224, 248, 0]
1534707213.4284589290618896484375, [63, 232, 247, 144]
1534707213.4289839267730712890625, [64, 88, 247, 168]
1534707213.429502010345458984375, [63, 224, 247, 136]
1534707213.4299929141998291015625, [64, 152, 247, 240]
1534707213.4305400848388671875, [64, 120, 247, 168]
1534707213.431056976318359375, [64, 24, 247, 48]
1534707213.431562900543212890625, [64, 128, 247, 152]
1534707213.4320580959320068359375, [64, 176, 248, 32]
1534707213.4325459003448486328125, [63, 184, 247, 168]
1534707213.4393880367279052734375, [64, 96, 247, 208]
1534707213.4430789947509765625, [64, 24, 248, 48]
1534707213.4439380168914794921875, [64, 48, 247, 176]
1534707213.4445850849151611328125, [64, 104, 248, 48]
1534707213.445187091827392578125, [64, 72, 247, 144]
1534707213.445765018463134765625, [63, 192, 247, 240]
1534707213.446340084075927734375, [64, 104, 247, 216]
1534707213.447208881378173828125, [64, 8, 247, 168]
1534707213.4478828907012939453125, [64, 112, 248, 56]
1534707213.449882984161376953125, [64, 176, 248, 16]
1534707213.45083904266357421875, [64, 56, 247, 128]
1534707213.4515149593353271484375, [64, 32, 247, 208]
1534707213.452126979827880859375, [64, 40, 248, 72]
1534707213.459043979644775390625, [64, 96, 247, 224]
1534707213.4603679180145263671875, [64, 120, 248, 24]
1534707213.4610769748687744140625, [64, 40, 248, 24]
1534707213.4616830348968505859375, [63, 200, 247, 208]
1534707213.4622519016265869140625, [64, 112, 248, 72]
1534707213.463058948516845703125, [64, 104, 248, 88]
1534707213.4636499881744384765625, [64, 24, 247, 232]
1534707213.4642241001129150390625, [64, 160, 248, 32]
1534707213.464994907379150390625, [64, 56, 247, 152]
1534707213.465609073638916015625, [64, 24, 247, 152]
1534707213.4668719768524169921875, [63, 248, 247, 168]
1534707213.469952106475830078125, [64, 88, 247, 200]
1534707213.4709160327911376953125, [64, 120, 248, 144]
1534707213.47177791595458984375, [64, 120, 247, 168]
1534707213.4724628925323486328125, [64, 56, 248, 112]
1534707213.473082065582275390625, [64, 192, 247, 128]
1534707213.4736831188201904296875, [64, 72, 247, 128]
1534707213.4742538928985595703125, [64, 192, 248, 32]
1534707213.4752979278564453125, [64, 104, 247, 224]
1534707213.4759171009063720703125, [64, 200, 247, 136]
1534707213.476439952850341796875, [64, 80, 247, 248]
1534707213.4769399166107177734375, [64, 152, 247, 224]
1534707213.477426052093505859375, [64, 96, 248, 48]
1534707213.4782049655914306640625, [64, 104, 247, 200]
1534707213.47994709014892578125, [64, 24, 247, 184]
1534707213.4811229705810546875, [64, 112, 247, 224]
1534707213.48178195953369140625, [64, 96, 248, 32]
1534707213.48237895965576171875, [64, 24, 248, 24]
1534707213.4833199977874755859375, [64, 16, 248, 40]
1534707213.4839370250701904296875, [64, 56, 247, 80]
1534707213.484509944915771484375, [64, 48, 247, 176]
1534707213.4850749969482421875, [64, 184, 248, 0]
1534707213.4856269359588623046875, [64, 104, 248, 56]
1534707213.4861800670623779296875, [64, 104, 247, 208]
1534707213.4868929386138916015625, [64, 144, 248, 80]
1534707213.487493038177490234375, [64, 56, 248, 48]
1534707213.4880619049072265625, [63, 200, 248, 88]
1534707213.4886200428009033203125, [63, 112, 247, 112]
1534707213.4891688823699951171875, [64, 152, 247, 152]
1534707213.4897100925445556640625, [64, 136, 247, 128]
1534707213.490250110626220703125, [64, 144, 246, 248]
1534707213.4909870624542236328125, [64, 8, 248, 16]
1534707213.49160099029541015625, [64, 80, 247, 240]
1534707213.492188930511474609375, [64, 232, 247, 216]
1534707213.492763042449951171875, [64, 128, 247, 160]
1534707213.49333095550537109375, [64, 144, 248, 0]
1534707213.493956089019775390625, [64, 88, 248, 72]
1534707213.4945709705352783203125, [64, 136, 247, 224]
1534707213.495151996612548828125, [63, 248, 247, 200]
1534707213.4957330226898193359375, [64, 24, 248, 104]
1534707213.4962999820709228515625, [64, 48, 247, 168]
1534707213.496861934661865234375, [64, 120, 248, 88]
1534707213.497425079345703125, [64, 0, 247, 168]
1534707213.4979870319366455078125, [64, 56, 247, 200]
1534707213.4985558986663818359375, [64, 112, 247, 248]
1534707213.4991281032562255859375, [64, 96, 247, 208]
1534707213.4996929168701171875, [64, 48, 248, 8]
1534707213.500256061553955078125, [63, 200, 247, 176]
1534707213.5008180141448974609375, [64, 112, 247, 168]
1534707213.5013740062713623046875, [64, 232, 247, 216]
1534707213.5019400119781494140625, [64, 128, 248, 16]
1534707213.5025160312652587890625, [64, 112, 247, 176]
1534707213.5030748844146728515625, [64, 232, 247, 248]
1534707213.5036399364471435546875, [63, 200, 248, 8]
1534707213.504189968109130859375, [64, 0, 247, 232]
1534707213.5047481060028076171875, [64, 152, 247, 216]
1534707213.50531005859375, [64, 32, 247, 56]
1534707213.5059111118316650390625, [64, 80, 248, 8]
1534707213.5065019130706787109375, [63, 200, 247, 168]
1534707213.507083892822265625, [64, 88, 248, 48]
1534707213.507648944854736328125, [64, 184, 247, 224]
1534707213.5082180500030517578125, [63, 168, 247, 168]
1534707213.508779048919677734375, [64, 0, 247, 192]
1534707213.50934505462646484375, [65, 8, 247, 136]
1534707213.5099089145660400390625, [64, 96, 247, 240]
1534707213.5105140209197998046875, [64, 16, 247, 104]
1534707213.51109600067138671875, [64, 128, 247, 216]
1534707213.511663913726806640625, [64, 48, 247, 168]
1534707213.5122311115264892578125, [63, 200, 247, 232]
1534707213.5127909183502197265625, [64, 128, 247, 144]
1534707213.513350009918212890625, [63, 224, 247, 200]
1534707213.513907909393310546875, [64, 48, 247, 56]
1534707213.5145180225372314453125, [63, 232, 248, 48]
1534707213.5150949954986572265625, [64, 24, 247, 136]
1534707213.5156700611114501953125, [64, 64, 247, 232]
1534707213.5162389278411865234375, [64, 16, 247, 128]
1534707213.5168011188507080078125, [64, 136, 248, 32]
